tmin	tier	text	tmax
19.091528	/k/	ku	19.176933
21.291041	/k/	ki	21.376511
23.696027	/k/	ku	23.772777
26.135122	/k/	ki	26.177978
28.436963	/k/	ku	28.501173
30.460555	/k/	ki	30.542373
32.431741	/k/	ku	32.516995
34.086581	/k/	ki	34.187522
35.681371	/k/	ku	35.760236
37.757690	/k/	ki	37.906977
39.348190	/k/	ki	39.422782
40.947966	/k/	ku	41.013804
42.621716	/k/	ku	42.686440
44.379804	/k/	ki	44.468692
46.384835	/k/	ki	46.450556
48.354366	/k/	ku	48.475837
49.876102	/k/	ku	49.933272
50.054924	/k/	ki	50.159292
52.113415	/k/	ku	52.191069
53.817650	/k/	ki	53.881679
55.517160	/k/	ku	55.595769
58.446707	/k/	ki	58.508667
60.522635	/k/	ku	60.571328
62.140244	/k/	ki	62.221797
64.031479	/k/	ku	64.132048
65.532875	/k/	ki	65.629993
67.181106	/k/	ku	67.271093
68.803553	/k/	ki	68.908577
70.308645	/k/	ki	70.372674
71.836242	/k/	ku	71.873169
73.225541	/k/	ku	73.385823
74.795695	/k/	ki	74.918502
76.444135	/k/	ki	76.544664
80.656854	/k/	ku	80.740117
82.229484	/k/	ku	82.281727
82.444604	/k/	ki	82.538848
94.223603	/k/	ku	94.300064
95.776294	/k/	ki	95.895809
97.922346	/k/	ku	97.971049
99.668006	/k/	ki	99.737246
103.256685	/k/	ku	103.302871
105.039907	/k/	ki	105.123449
107.173768	/k/	ku	107.256196
108.719991	/k/	ki	108.825015
110.301136	/k/	ku	110.412048
111.903273	/k/	ki	111.992544
113.446857	/k/	ki	113.532518
114.743424	/k/	ku	114.907644
116.366506	/k/	ku	116.428207
117.639633	/k/	ki	117.812764
119.295597	/k/	ki	119.410468
120.785950	/k/	ku	120.865057
121.972350	/k/	ku	122.035911
122.157674	/k/	ki	122.290923
126.962082	/k/	ku	127.048708
128.777661	/k/	ki	128.869119
130.541497	/k/	ku	130.620067
132.346378	/k/	ki	132.402948
137.021362	/k/	ku	137.091995
138.550707	/k/	ki	138.634906
140.369605	/k/	ku	140.455534
141.934017	/k/	ki	142.053294
143.454371	/k/	ku	143.553786
145.079487	/k/	ki	145.148668
146.833527	/k/	ki	146.902867
148.235083	/k/	ku	148.320713
149.717406	/k/	ku	149.819088
151.415720	/k/	ki	151.567767
153.073948	/k/	ki	153.163666
154.560576	/k/	ku	154.629319
155.776250	/k/	ku	155.846962
156.008079	/k/	ki	156.102959
158.572340	/k/	ku	158.662147
160.096436	/k/	ki	160.220496
161.881832	/k/	ku	161.946925
163.656288	/k/	ki	163.774978
165.425794	/k/	ku	165.486839
167.068289	/k/	ki	167.178784
168.944679	/k/	ku	169.036018
170.639950	/k/	ki	170.772085
172.132163	/k/	ku	172.217197
173.688614	/k/	ki	173.790535
175.179561	/k/	ki	175.305013
176.788625	/k/	ku	176.966012
178.547471	/k/	ku	178.638134
180.076080	/k/	ki	180.239613
181.949525	/k/	ki	182.024554
183.523571	/k/	ku	183.599057
185.015365	/k/	ku	185.080707
185.188158	/k/	ki	185.290527
