prompt	ktype
Cou	ku
Qui	ki
Couche	ku
Quiche	ki
Ecouter	ku
Equite	ki
A-coup	ku
Acquis	ki
Cool	ku
Qu'il	ki
Guida	ki
Gouda	ku
Gout	ku
Gui	ki
Baggy	ki
Bagout	ku
CookieSyll1	ku
CookieSyll2	ki
Cou	ku
Qui	ki
Couche	ku
Quiche	ki
Ecouter	ku
Equite	ki
A-coup	ku
Acquis	ki
Cool	ku
Qu'il	ki
Guida	ki
Gouda	ku
Gout	ku
Gui	ki
Baggy	ki
Bagout	ku
CookieSyll1	ku
CookieSyll2	ki
Cou	ku
Qui	ki
Couche	ku
Quiche	ki
Ecouter	ku
Equite	ki
A-coup	ku
Acquis	ki
Cool	ku
Qu'il	ki
Guida	ki
Gouda	ku
Gout	ku
Gui	ki
Baggy	ki
Bagout	ku
CookieSyll1	ku
CookieSyll2	ki
Cou	ku
Qui	ki
Couche	ku
Quiche	ki
Ecouter	ku
Equite	ki
A-coup	ku
Acquis	ki
Cool	ku
Qu'il	ki
Guida	ki
Gouda	ku
Gout	ku
Gui	ki
Baggy	ki
Bagout	ku
CookieSyll1	ku
CookieSyll2	ki
Cou	ku
Qui	ki
Couche	ku
Quiche	ki
Ecouter	ku
Equite	ki
A-coup	ku
Acquis	ki
Cool	ku
Qu'il	ki
Guida	ki
Gouda	ku
Gout	ku
Gui	ki
Baggy	ki
Bagout	ku
CookieSyll1	ku
CookieSyll2	ki
